"No.","Time","Source","Destination","Protocol","Length","Info"
"50","17.153045","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=8828 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"51","17.153058","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","1514","48826  >  443 [ACK] Seq=10268 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]"
"52","17.153071","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TLSv1.2","721","Application Data"
"53","17.153238","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=188 Win=65535 Len=0"
"54","17.153239","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=1628 Win=65535 Len=0"
"55","17.153239","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=3068 Win=65535 Len=0"
"56","17.153239","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=4508 Win=65535 Len=0"
"57","17.153240","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=5948 Win=65535 Len=0"
"58","17.153240","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=7388 Win=65535 Len=0"
"59","17.153240","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=8828 Win=65535 Len=0"
"60","17.153240","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=10268 Win=65535 Len=0"
"61","17.153291","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=11708 Win=65535 Len=0"
"62","17.153291","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","74","443  >  48826 [ACK] Seq=177 Ack=12355 Win=65535 Len=0"
"63","18.958560","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","1514","443  >  48826 [ACK] Seq=177 Ack=12355 Win=65535 Len=1440 [TCP PDU reassembled in 65]"
"64","18.958886","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=1617 Win=65535 Len=0"
"65","18.960067","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","2954","Application Data, Application Data"
"66","18.960188","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=4497 Win=65535 Len=0"
"67","18.961145","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","4394","Application Data"
"68","18.961255","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=8817 Win=65535 Len=0"
"69","18.962072","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","5834","Application Data"
"70","18.962209","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=14577 Win=65535 Len=0"
"71","18.963040","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","3553","Application Data, Application Data"
"72","18.963135","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=18056 Win=65535 Len=0"
"73","18.972777","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","8055","Application Data, Application Data"
"74","18.972876","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=26037 Win=65535 Len=0"
"75","18.973509","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","1374","443  >  48826 [PSH, ACK] Seq=26037 Ack=12355 Win=65535 Len=1300 [TCP PDU reassembled in 77]"
"76","18.973524","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=27337 Win=65535 Len=0"
"77","18.980988","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","1560","Application Data"
"78","18.980989","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TCP","2674","443  >  48826 [PSH, ACK] Seq=28823 Ack=12355 Win=65535 Len=2600 [TCP PDU reassembled in 81]"
"79","18.981086","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=28823 Win=65535 Len=0"
"80","18.981222","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=31423 Win=65535 Len=0"
"81","18.985024","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","1560","Application Data"
"82","18.985108","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=32909 Win=65535 Len=0"
"83","18.987518","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","1587","Application Data"
"84","18.987890","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","2a03:2880:f28a:ce:face:b00c:0:167","TCP","74","48826  >  443 [ACK] Seq=12355 Ack=34422 Win=65535 Len=0"
"85","18.989429","2a03:2880:f28a:ce:face:b00c:0:167","fd17:625c:f037:2:86e2:1afc:8ad3:8e30","TLSv1.2","2669","Application Data"
